MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OKC vs. PHI,10/24/2021,L,48,103,40,84,47.6,8,31,25.8,15,19,78.9,6,36,42,24,11,9,4,17,-12
BKN vs. CHA,10/24/2021,L,48,95,38,87,43.7,9,35,25.7,10,12,83.3,9,35,44,18,17,10,8,19,-16
SAC vs. GSW,10/24/2021,L,48,107,42,86,48.8,15,46,32.6,8,13,61.5,10,37,47,26,19,0,4,16,-12
BOS @ HOU,10/24/2021,W,48,107,38,86,44.2,15,47,31.9,16,20,80,6,37,43,22,12,10,6,22,10
LAL vs. MEM,10/24/2021,W,48,121,45,84,53.6,16,30,53.3,15,22,68.2,9,27,36,29,17,10,12,14,3
NYK vs. ORL,10/24/2021,L,48,104,37,100,37,13,48,27.1,17,25,68,16,36,52,20,12,8,8,21,-6
MEM @ LAL,10/24/2021,L,48,118,45,100,45,13,35,37.1,15,18,83.3,18,31,49,25,17,13,4,20,-3
CHA @ BKN,10/24/2021,W,48,111,43,94,45.7,10,30,33.3,15,19,78.9,10,38,48,26,12,10,5,17,16
CHA vs. BOS,10/25/2021,L,53,129,46,103,44.7,19,44,43.2,18,28,64.3,14,38,52,26,14,4,6,25,-11
TOR vs. CHI,10/25/2021,L,48,108,40,83,48.2,12,30,40,16,20,80,13,34,47,27,21,8,1,18,-3
WAS @ BKN,10/25/2021,L,48,90,33,95,34.7,9,39,23.1,15,20,75,10,43,53,16,12,5,5,17,-14
IND vs. MIL,10/25/2021,L,48,109,40,90,44.4,14,36,38.9,15,17,88.2,12,35,47,23,19,6,1,24,-10
CHI @ TOR,10/25/2021,W,48,111,39,81,48.1,12,27,44.4,21,22,95.5,5,24,29,24,13,11,3,16,3
ATL vs. DET,10/25/2021,W,48,122,46,90,51.1,12,32,37.5,18,21,85.7,10,39,49,24,16,11,3,19,18
LAC vs. POR,10/25/2021,W,48,116,44,93,47.3,14,43,32.6,14,19,73.7,5,38,43,37,17,21,6,23,30
POR @ LAC,10/25/2021,L,48,86,32,85,37.6,8,37,21.6,14,18,77.8,7,40,47,15,30,11,4,18,-30
MIN vs. NOP,10/25/2021,L,48,98,31,90,34.4,15,50,30,21,27,77.8,11,30,41,20,11,10,7,19,-9
MIA vs. ORL,10/25/2021,W,48,107,41,87,47.1,6,27,22.2,19,19,100,9,33,42,28,11,10,2,19,17
BKN vs. WAS,10/25/2021,W,48,104,40,94,42.6,10,35,28.6,14,17,82.4,7,47,54,23,9,6,4,19,14
ORL @ MIA,10/25/2021,L,48,90,33,81,40.7,12,44,27.3,12,19,63.2,6,33,39,21,18,7,6,22,-17
DEN vs. CLE,10/25/2021,L,48,87,35,86,40.7,9,38,23.7,8,12,66.7,11,36,47,21,22,10,3,22,-12
NOP @ MIN,10/25/2021,W,48,107,39,87,44.8,10,30,33.3,19,23,82.6,15,45,60,19,20,5,5,20,9
BOS @ CHA,10/25/2021,W,53,140,50,101,49.5,19,50,38,21,25,84,11,42,53,33,12,8,9,23,11
CLE @ DEN,10/25/2021,W,48,99,38,82,46.3,7,25,28,16,20,80,11,38,49,26,16,8,5,18,12
DET @ ATL,10/25/2021,L,48,104,40,91,44,9,33,27.3,15,18,83.3,11,25,36,26,14,7,6,15,-18
MIL @ IND,10/25/2021,W,48,119,41,85,48.2,11,32,34.4,26,31,83.9,7,35,42,24,14,13,6,19,10
GSW @ OKC,10/26/2021,W,48,106,39,83,47,14,40,35,14,18,77.8,7,39,46,30,15,9,8,20,8
PHI @ NYK,10/26/2021,L,48,99,36,82,43.9,12,41,29.3,15,17,88.2,12,28,40,24,15,9,4,14,-13
LAL @ SAS,10/26/2021,W,53,125,50,105,47.6,8,30,26.7,17,22,77.3,9,47,56,20,13,8,10,21,4
HOU @ DAL,10/26/2021,L,48,106,36,86,41.9,16,39,41,18,26,69.2,11,38,49,24,17,7,3,21,-10
DEN @ UTA,10/26/2021,L,48,110,42,83,50.6,10,28,35.7,16,24,66.7,5,30,35,19,13,9,3,23,-12
OKC vs. GSW,10/26/2021,L,48,98,36,86,41.9,12,34,35.3,14,17,82.4,9,33,42,19,14,7,3,18,-8
NYK vs. PHI,10/26/2021,W,48,112,41,87,47.1,16,37,43.2,14,15,93.3,13,32,45,24,15,7,5,18,13
SAS vs. LAL,10/26/2021,L,53,121,48,108,44.4,13,36,36.1,12,22,54.5,16,43,59,33,16,10,6,22,-4
UTA vs. DEN,10/26/2021,W,48,122,44,85,51.8,12,39,30.8,22,29,75.9,8,33,41,20,14,5,6,22,12
DAL vs. HOU,10/26/2021,W,48,116,43,93,46.2,12,43,27.9,18,25,72,14,36,50,25,15,9,7,22,10
OKC vs. LAL,10/27/2021,W,48,123,43,86,50,15,37,40.5,22,29,75.9,10,32,42,21,16,8,3,16,8
SAC @ PHX,10/27/2021,W,48,110,42,95,44.2,15,38,39.5,11,15,73.3,8,32,40,28,12,7,6,20,3
MEM @ POR,10/27/2021,L,48,96,35,96,36.5,17,50,34,9,19,47.4,21,29,50,27,22,9,3,25,-20
WAS @ BOS,10/27/2021,W,48,116,43,84,51.2,9,25,36,21,29,72.4,11,36,47,18,16,8,7,20,9
LAL @ OKC,10/27/2021,L,48,115,46,92,50,11,35,31.4,12,14,85.7,10,30,40,29,17,8,2,22,-8
PHX vs. SAC,10/27/2021,L,48,107,42,93,45.2,6,22,27.3,17,24,70.8,14,42,56,23,11,6,6,16,-3
TOR vs. IND,10/27/2021,W,48,118,46,100,46,14,30,46.7,12,19,63.2,16,25,41,22,12,18,6,20,18
MIL vs. MIN,10/27/2021,L,48,108,39,95,41.1,14,51,27.5,16,21,76.2,13,30,43,22,9,10,3,18,-5
CHA @ ORL,10/27/2021,W,48,120,43,83,51.8,14,30,46.7,20,24,83.3,10,30,40,22,17,14,4,14,9
BOS vs. WAS,10/27/2021,L,48,107,37,85,43.5,10,29,34.5,23,28,82.1,10,27,37,18,13,9,5,21,-9
ORL vs. CHA,10/27/2021,L,48,111,43,88,48.9,15,40,37.5,10,13,76.9,8,25,33,22,19,6,2,21,-9
ATL @ NOP,10/27/2021,W,48,102,40,96,41.7,8,30,26.7,14,17,82.4,21,34,55,21,11,4,4,14,3
LAC vs. CLE,10/27/2021,L,48,79,31,87,35.6,9,41,22,8,13,61.5,9,27,36,19,14,13,2,24,-13
IND @ TOR,10/27/2021,L,48,100,38,79,48.1,10,29,34.5,14,17,82.4,9,31,40,19,23,6,7,19,-18
BKN vs. MIA,10/27/2021,L,48,93,33,85,38.8,14,43,32.6,13,14,92.9,4,38,42,21,16,7,7,24,-13
MIA @ BKN,10/27/2021,W,48,106,38,96,39.6,8,29,27.6,22,26,84.6,17,45,62,21,15,6,2,19,13
POR vs. MEM,10/27/2021,W,48,116,39,84,46.4,15,36,41.7,23,31,74.2,13,35,48,22,14,11,6,20,20
MIN @ MIL,10/27/2021,W,48,113,43,91,47.3,13,45,28.9,14,17,82.4,10,39,49,29,17,5,4,20,5
CLE @ LAC,10/27/2021,W,48,92,33,81,40.7,3,20,15,23,27,85.2,14,43,57,12,21,9,3,14,13
NOP vs. ATL,10/27/2021,L,48,99,40,93,43,11,36,30.6,8,9,88.9,9,35,44,24,10,5,6,19,-3
ATL @ WAS,10/28/2021,L,48,111,48,88,54.5,6,21,28.6,9,14,64.3,6,37,43,26,13,4,3,16,-11
PHI vs. DET,10/28/2021,W,48,110,38,76,50,12,27,44.4,22,24,91.7,6,40,46,22,21,7,9,23,8
DAL vs. SAS,10/28/2021,W,48,104,41,89,46.1,18,45,40,4,13,30.8,9,36,45,18,13,4,7,19,5
WAS vs. ATL,10/28/2021,W,48,122,46,99,46.5,13,34,38.2,17,21,81,14,37,51,26,9,6,4,16,11
DET @ PHI,10/28/2021,L,48,102,35,86,40.7,13,39,33.3,19,27,70.4,10,27,37,22,14,11,4,22,-8
SAS @ DAL,10/28/2021,L,48,99,39,88,44.3,12,30,40,9,15,60,11,37,48,21,15,6,11,16,-5
HOU vs. UTA,10/28/2021,L,48,91,31,95,32.6,9,44,20.5,20,23,87,13,28,41,15,11,8,3,24,-31
GSW vs. MEM,10/28/2021,L,53,101,39,90,43.3,14,40,35,9,12,75,7,41,48,29,23,8,7,17,-3
NYK @ CHI,10/28/2021,W,48,104,39,85,45.9,11,29,37.9,15,20,75,11,38,49,16,13,5,7,21,1
UTA @ HOU,10/28/2021,W,48,122,41,85,48.2,16,46,34.8,24,30,80,10,48,58,24,20,8,4,23,31
MEM @ GSW,10/28/2021,W,53,104,39,97,40.2,12,48,25,14,14,100,10,41,51,25,18,17,9,14,3
CHI vs. NYK,10/28/2021,L,48,103,36,84,42.9,11,32,34.4,20,22,90.9,5,32,37,25,7,6,5,18,-1
MIA vs. CHA,10/29/2021,W,48,114,43,91,47.3,9,35,25.7,19,19,100,16,44,60,23,18,6,3,20,15
IND @ BKN,10/29/2021,L,48,98,37,93,39.8,8,29,27.6,16,23,69.6,11,35,46,20,14,9,7,27,-7
DAL @ DEN,10/29/2021,L,48,75,23,78,29.5,8,37,21.6,21,27,77.8,6,30,36,14,15,8,3,17,-31
CHA @ MIA,10/29/2021,L,48,99,35,90,38.9,13,37,35.1,16,22,72.7,11,26,37,21,11,8,6,17,-15
POR vs. LAC,10/29/2021,W,48,111,41,98,41.8,19,41,46.3,10,16,62.5,16,47,63,21,14,8,6,19,19
SAC @ NOP,10/29/2021,W,48,113,40,80,50,9,27,33.3,24,25,96,3,42,45,19,14,4,5,20,4
LAC @ POR,10/29/2021,L,48,92,34,87,39.1,15,42,35.7,9,16,56.3,6,37,43,17,13,7,5,14,-19
TOR vs. ORL,10/29/2021,W,48,110,43,86,50,9,30,30,15,22,68.2,9,31,40,18,8,11,2,18,1
BKN vs. IND,10/29/2021,W,48,105,34,76,44.7,6,26,23.1,31,41,75.6,10,40,50,20,18,9,6,21,7
CLE @ LAL,10/29/2021,L,48,101,37,87,42.5,12,34,35.3,15,22,68.2,16,20,36,28,15,10,1,13,-12
ORL @ TOR,10/29/2021,L,48,109,41,87,47.1,16,34,47.1,11,16,68.8,12,34,46,24,17,1,5,24,-1
DEN vs. DAL,10/29/2021,W,48,106,43,83,51.8,11,36,30.6,9,13,69.2,5,46,51,28,20,8,3,24,31
NOP vs. SAC,10/29/2021,L,48,109,42,98,42.9,9,34,26.5,16,25,64,13,36,49,18,10,9,6,22,-4
LAL vs. CLE,10/29/2021,W,48,113,46,84,54.8,12,27,44.4,9,10,90,11,31,42,24,22,9,6,20,12
NYK @ NOP,10/30/2021,W,48,123,42,81,51.9,19,33,57.6,20,25,80,5,32,37,22,12,7,4,21,6
NOP vs. NYK,10/30/2021,L,48,117,42,92,45.7,11,33,33.3,22,24,91.7,12,31,43,30,12,7,3,24,-6
MIN vs. DEN,10/30/2021,L,48,91,35,89,39.3,13,41,31.7,8,9,88.9,15,31,46,21,20,8,6,23,-2
TOR @ IND,10/30/2021,W,48,97,39,92,42.4,11,32,34.4,8,12,66.7,12,36,48,18,18,8,4,17,3
SAS @ MIL,10/30/2021,W,48,102,39,95,41.1,7,31,22.6,17,24,70.8,8,41,49,28,10,12,3,13,9
DEN @ MIN,10/30/2021,W,48,93,36,88,40.9,9,37,24.3,12,16,75,14,34,48,24,18,11,10,15,2
ORL @ DET,10/30/2021,L,48,103,38,87,43.7,16,32,50,11,15,73.3,12,34,46,21,18,5,6,21,-7
UTA @ CHI,10/30/2021,L,48,99,35,92,38,11,38,28.9,18,19,94.7,14,40,54,15,20,5,7,21,-8
BOS @ WAS,10/30/2021,L,58,112,44,107,41.1,2,26,7.7,22,25,88,8,46,54,23,12,8,10,32,-3
DET vs. ORL,10/30/2021,W,48,110,36,89,40.4,14,43,32.6,24,30,80,17,31,48,26,16,12,6,18,7
PHI vs. ATL,10/30/2021,W,48,122,46,86,53.5,12,38,31.6,18,19,94.7,5,32,37,24,12,11,6,24,28
CHI vs. UTA,10/30/2021,W,48,107,39,91,42.9,5,21,23.8,24,30,80,9,36,45,16,9,8,5,19,8
MIL vs. SAS,10/30/2021,L,48,93,36,89,40.4,10,39,25.6,11,16,68.8,9,43,52,20,21,6,2,18,-9
ATL @ PHI,10/30/2021,L,48,94,36,95,37.9,8,22,36.4,14,19,73.7,20,29,49,24,19,6,1,17,-28
CLE @ PHX,10/30/2021,L,48,92,36,91,39.6,14,44,31.8,6,7,85.7,10,37,47,21,19,8,3,21,-9
MEM vs. MIA,10/30/2021,L,48,103,34,88,38.6,16,50,32,19,21,90.5,8,24,32,26,14,14,7,17,-26
OKC @ GSW,10/30/2021,L,48,82,29,83,34.9,8,39,20.5,16,21,76.2,3,42,45,14,16,8,6,8,-21
IND vs. TOR,10/30/2021,L,48,94,35,81,43.2,13,43,30.2,11,16,68.8,8,32,40,25,20,8,10,17,-3
PHX vs. CLE,10/30/2021,W,48,101,39,84,46.4,6,26,23.1,17,27,63,8,44,52,27,15,12,3,14,9
WAS vs. BOS,10/30/2021,W,58,115,38,104,36.5,10,36,27.8,29,36,80.6,12,50,62,19,13,6,7,22,3
GSW vs. OKC,10/30/2021,W,48,103,39,92,42.4,21,54,38.9,4,8,50,10,46,56,30,16,9,8,21,21
MIA @ MEM,10/30/2021,W,48,129,46,88,52.3,21,37,56.8,16,19,84.2,11,39,50,31,18,12,2,17,26
DET @ BKN,10/31/2021,L,48,91,32,79,40.5,12,33,36.4,15,22,68.2,7,22,29,21,15,12,3,18,-26
MIL vs. UTA,10/31/2021,L,48,95,39,96,40.6,12,41,29.3,5,6,83.3,13,31,44,16,11,7,3,22,-12
BKN vs. DET,10/31/2021,W,48,117,47,72,65.3,13,25,52,10,16,62.5,2,39,41,30,20,7,2,19,26
HOU @ LAL,10/31/2021,L,48,85,32,76,42.1,6,28,21.4,15,29,51.7,10,45,55,18,27,8,3,18,-10
POR @ CHA,10/31/2021,L,48,113,43,97,44.3,17,54,31.5,10,11,90.9,15,32,47,30,12,4,5,18,-12
SAC @ DAL,10/31/2021,L,48,99,38,96,39.6,7,36,19.4,16,20,80,17,39,56,20,13,6,3,19,-6
CHA vs. POR,10/31/2021,W,48,125,46,89,51.7,20,42,47.6,13,21,61.9,10,34,44,36,9,4,6,18,12
DAL vs. SAC,10/31/2021,W,48,105,40,90,44.4,12,37,32.4,13,20,65,10,35,45,24,10,8,4,20,6
LAL vs. HOU,10/31/2021,W,48,95,39,96,40.6,9,31,29,8,13,61.5,10,33,43,22,14,15,9,20,10
UTA @ MIL,10/31/2021,W,48,107,35,75,46.7,12,37,32.4,25,27,92.6,7,37,44,13,13,6,10,10,12
WAS @ ATL,11/1/2021,L,48,111,41,86,47.7,13,39,33.3,16,16,100,7,29,36,27,12,7,4,24,-7
ORL @ MIN,11/1/2021,W,48,115,37,82,45.1,17,43,39.5,24,30,80,12,39,51,21,16,5,7,19,18
POR @ PHI,11/1/2021,L,48,103,40,84,47.6,12,34,35.3,11,18,61.1,13,32,45,21,15,5,2,15,-10
CHA vs. CLE,11/1/2021,L,48,110,42,101,41.6,15,39,38.5,11,15,73.3,20,26,46,27,17,12,12,23,-3
OKC @ LAC,11/1/2021,L,48,94,35,90,38.9,11,37,29.7,13,16,81.3,10,41,51,17,16,8,6,18,-5
MIN vs. ORL,11/1/2021,L,48,97,36,97,37.1,14,51,27.5,11,19,57.9,16,31,47,21,14,8,1,20,-18
BOS vs. CHI,11/1/2021,L,48,114,42,96,43.8,15,33,45.5,15,20,75,13,25,38,20,9,10,1,15,-14
LAC vs. OKC,11/1/2021,W,48,99,35,92,38,15,42,35.7,14,19,73.7,13,38,51,18,14,8,5,14,5
NYK vs. TOR,11/1/2021,L,48,104,35,76,46.1,16,38,42.1,18,24,75,7,34,41,20,17,3,4,13,-9
IND vs. SAS,11/1/2021,W,48,131,52,91,57.1,18,38,47.4,9,12,75,10,29,39,37,16,11,4,19,13
ATL vs. WAS,11/1/2021,W,48,118,38,83,45.8,13,34,38.2,29,29,100,13,34,47,24,11,9,5,17,7
CLE @ CHA,11/1/2021,W,48,113,39,90,43.3,9,28,32.1,26,38,68.4,17,32,49,21,16,12,7,14,3
DEN @ MEM,11/1/2021,L,48,97,39,88,44.3,9,38,23.7,10,15,66.7,6,34,40,27,12,8,8,10,-9
CHI @ BOS,11/1/2021,W,48,128,49,86,57,13,31,41.9,17,18,94.4,10,40,50,30,18,7,8,19,14
SAS @ IND,11/1/2021,L,48,118,47,89,52.8,14,28,50,10,14,71.4,8,28,36,34,17,6,4,9,-13
PHI vs. POR,11/1/2021,W,48,113,43,83,51.8,13,36,36.1,14,16,87.5,7,27,34,34,11,11,6,18,10
TOR @ NYK,11/1/2021,W,48,113,43,99,43.4,14,42,33.3,13,14,92.9,13,35,48,24,9,12,4,20,9
MEM vs. DEN,11/1/2021,W,48,106,44,97,45.4,13,34,38.2,5,7,71.4,11,44,55,20,13,8,4,18,9
PHX vs. NOP,11/2/2021,W,48,112,43,82,52.4,9,26,34.6,17,18,94.4,7,35,42,32,19,8,4,17,12
SAC @ UTA,11/2/2021,L,48,113,42,93,45.2,12,31,38.7,17,24,70.8,6,32,38,24,11,8,8,24,-6
MIL @ DET,11/2/2021,W,48,117,42,84,50,17,37,45.9,16,21,76.2,9,43,52,28,17,7,8,23,28
LAL vs. HOU,11/2/2021,W,48,119,49,93,52.7,6,25,24,15,20,75,11,32,43,26,17,10,4,19,2
UTA vs. SAC,11/2/2021,W,48,119,43,98,43.9,14,48,29.2,19,27,70.4,15,44,59,16,17,7,6,23,6
DET vs. MIL,11/2/2021,L,48,89,30,93,32.3,8,47,17,21,30,70,14,29,43,21,14,5,5,22,-28
NOP @ PHX,11/2/2021,L,48,100,36,91,39.6,13,39,33.3,15,16,93.8,14,29,43,21,18,17,6,16,-12
HOU @ LAL,11/2/2021,L,48,117,48,91,52.7,16,42,38.1,5,12,41.7,11,27,38,27,25,8,4,21,-2
MIA @ DAL,11/2/2021,W,48,125,43,83,51.8,13,25,52,26,30,86.7,9,36,45,25,7,6,5,25,15
DAL vs. MIA,11/2/2021,L,48,110,37,84,44,14,42,33.3,22,31,71,11,30,41,17,10,1,3,21,-15
IND vs. NYK,11/3/2021,W,48,111,42,91,46.2,16,41,39,11,14,78.6,10,39,49,26,13,7,7,22,13
SAC vs. NOP,11/3/2021,W,48,112,42,80,52.5,10,30,33.3,18,22,81.8,4,33,37,27,8,8,7,21,13
BOS @ ORL,11/3/2021,W,48,92,33,79,41.8,10,37,27,16,25,64,9,41,50,24,11,7,9,20,13
ATL @ BKN,11/3/2021,L,48,108,41,94,43.6,13,35,37.1,13,15,86.7,12,40,52,23,14,8,4,16,-9
GSW vs. CHA,11/3/2021,W,48,114,42,86,48.8,18,45,40,12,18,66.7,7,46,53,33,17,14,4,17,22
LAC @ MIN,11/3/2021,W,48,126,47,78,60.3,21,36,58.3,11,12,91.7,3,32,35,33,21,6,7,14,11
MIN vs. LAC,11/3/2021,L,48,115,43,94,45.7,14,40,35,15,16,93.8,15,24,39,27,17,11,2,16,-11
CHA @ GSW,11/3/2021,L,48,92,34,91,37.4,10,36,27.8,14,19,73.7,9,40,49,18,16,10,2,14,-22
MEM vs. DEN,11/3/2021,W,48,108,42,81,51.9,16,34,47.1,8,14,57.1,3,33,36,28,12,9,7,16,2
BKN vs. ATL,11/3/2021,W,48,117,43,88,48.9,22,48,45.8,9,12,75,7,35,42,34,16,7,8,18,9
DEN @ MEM,11/3/2021,L,48,106,43,91,47.3,8,27,29.6,12,13,92.3,11,33,44,24,12,7,4,16,-2
WAS vs. TOR,11/3/2021,L,48,100,34,78,43.6,8,32,25,24,30,80,10,34,44,19,13,6,7,15,-9
PHI vs. CHI,11/3/2021,W,48,103,38,77,49.4,12,28,42.9,15,21,71.4,5,30,35,24,14,9,4,15,5
POR @ CLE,11/3/2021,L,48,104,40,90,44.4,13,37,35.1,11,17,64.7,10,29,39,24,9,12,6,19,-3
TOR @ WAS,11/3/2021,W,48,109,41,88,46.6,10,25,40,17,20,85,10,32,42,17,12,10,3,23,9
SAS vs. DAL,11/3/2021,L,48,108,43,88,48.9,7,21,33.3,15,20,75,5,35,40,25,15,10,10,24,-1
NOP @ SAC,11/3/2021,L,48,99,37,86,43,12,34,35.3,13,15,86.7,8,32,40,24,17,1,3,16,-13
NYK @ IND,11/3/2021,L,48,98,36,87,41.4,5,24,20.8,21,27,77.8,14,32,46,23,10,7,6,19,-13
CLE vs. POR,11/3/2021,W,48,107,39,74,52.7,15,30,50,14,18,77.8,5,38,43,29,19,4,2,14,3
DAL @ SAS,11/3/2021,W,48,109,40,93,43,8,34,23.5,21,29,72.4,15,41,56,21,19,10,4,23,1
CHI @ PHI,11/3/2021,L,48,98,38,82,46.3,6,21,28.6,16,18,88.9,9,38,47,19,16,11,4,17,-5
ORL vs. BOS,11/3/2021,L,48,79,27,84,32.1,9,43,20.9,16,20,80,8,38,46,15,15,8,1,20,-13
LAL vs. OKC,11/4/2021,L,48,104,39,94,41.5,12,33,36.4,14,17,82.4,16,33,49,22,14,8,5,21,-3
MIA vs. BOS,11/4/2021,L,48,78,28,81,34.6,9,41,22,13,19,68.4,13,32,45,18,18,8,0,19,-17
HOU @ PHX,11/4/2021,L,48,111,38,88,43.2,11,32,34.4,24,28,85.7,7,36,43,25,19,4,4,21,-12
BOS @ MIA,11/4/2021,W,48,95,31,78,39.7,16,41,39,17,20,85,11,35,46,16,16,7,4,16,17
UTA @ ATL,11/4/2021,W,48,116,41,81,50.6,17,41,41.5,17,23,73.9,8,38,46,30,17,6,4,20,18
DET vs. PHI,11/4/2021,L,48,98,35,87,40.2,11,36,30.6,17,19,89.5,12,29,41,21,11,6,2,18,-11
ATL vs. UTA,11/4/2021,L,48,98,35,82,42.7,7,28,25,21,26,80.8,5,27,32,18,9,11,4,24,-18
PHX vs. HOU,11/4/2021,W,48,123,44,93,47.3,14,31,45.2,21,23,91.3,13,33,46,29,12,12,8,24,12
OKC @ LAL,11/4/2021,W,48,107,37,87,42.5,15,41,36.6,18,26,69.2,12,38,50,23,16,7,2,16,3
PHI @ DET,11/4/2021,W,48,109,41,83,49.4,12,32,37.5,15,22,68.2,15,34,49,22,15,8,3,17,11
MIN vs. LAC,11/5/2021,L,48,84,31,89,34.8,17,52,32.7,5,7,71.4,7,35,42,17,22,8,7,33,-20
CLE @ TOR,11/5/2021,W,48,102,38,83,45.8,10,30,33.3,16,19,84.2,11,28,39,22,18,4,3,13,1
WAS vs. MEM,11/5/2021,W,48,115,49,84,58.3,10,25,40,7,13,53.8,5,48,53,34,19,4,6,13,28
SAC vs. CHA,11/5/2021,W,48,140,48,87,55.2,22,44,50,22,26,84.6,13,43,56,29,18,5,1,21,30
ORL vs. SAS,11/5/2021,L,48,89,35,89,39.3,12,41,29.3,7,10,70,7,36,43,23,18,9,12,13,-13
TOR vs. CLE,11/5/2021,L,48,101,42,99,42.4,12,27,44.4,5,9,55.6,19,26,45,20,10,10,8,19,-1
NOP @ GSW,11/5/2021,L,48,85,31,88,35.2,11,44,25,12,16,75,11,31,42,23,19,6,3,18,-41
GSW vs. NOP,11/5/2021,W,48,126,47,91,51.6,20,50,40,12,14,85.7,9,40,49,36,11,10,4,16,41
NYK @ MIL,11/5/2021,W,48,113,41,96,42.7,10,40,25,21,26,80.8,20,39,59,16,15,12,4,17,15
BKN @ DET,11/5/2021,W,48,96,36,80,45,11,27,40.7,13,14,92.9,4,41,45,25,17,3,4,21,6
MIL vs. NYK,11/5/2021,L,48,98,33,82,40.2,16,43,37.2,16,21,76.2,7,30,37,19,15,5,5,20,-15
LAC @ MIN,11/5/2021,W,48,104,36,88,40.9,6,28,21.4,26,32,81.3,15,47,62,18,17,12,4,16,20
CHA @ SAC,11/5/2021,L,48,110,43,92,46.7,11,35,31.4,13,21,61.9,7,21,28,29,10,8,5,19,-30
MEM @ WAS,11/5/2021,L,48,87,34,96,35.4,6,31,19.4,13,17,76.5,12,27,39,19,9,12,4,15,-28
DET vs. BKN,11/5/2021,L,48,90,33,87,37.9,11,34,32.4,13,18,72.2,7,37,44,17,14,11,6,22,-6
POR vs. IND,11/5/2021,W,48,110,40,82,48.8,17,39,43.6,13,15,86.7,6,36,42,27,14,7,4,15,4
IND @ POR,11/5/2021,L,48,106,43,88,48.9,14,42,33.3,6,10,60,7,33,40,28,11,8,2,18,-4
SAS @ ORL,11/5/2021,W,48,102,40,90,44.4,6,19,31.6,16,18,88.9,5,43,48,23,13,11,7,14,13
CHI vs. PHI,11/6/2021,L,48,105,37,92,40.2,7,29,24.1,24,30,80,18,28,46,20,9,7,1,19,-9
MIA vs. UTA,11/6/2021,W,48,118,47,78,60.3,11,21,52.4,13,17,76.5,7,29,36,30,14,3,1,18,3
BOS @ DAL,11/6/2021,L,48,104,42,86,48.8,9,31,29,11,16,68.8,8,28,36,20,11,6,2,14,-3
POR vs. LAL,11/6/2021,W,48,105,36,95,37.9,15,55,27.3,18,24,75,12,40,52,22,12,14,7,21,15
DEN vs. HOU,11/6/2021,W,48,95,36,89,40.4,9,40,22.5,14,17,82.4,10,35,45,19,11,10,5,20,1
UTA @ MIA,11/6/2021,L,48,115,43,83,51.8,15,45,33.3,14,19,73.7,7,24,31,26,6,10,3,19,-3
DAL vs. BOS,11/6/2021,W,48,107,41,78,52.6,13,39,33.3,12,14,85.7,7,33,40,19,15,7,6,18,3
ATL @ PHX,11/6/2021,L,48,117,42,97,43.3,13,33,39.4,20,23,87,14,36,50,18,12,3,1,16,-4
PHI @ CHI,11/6/2021,W,48,114,43,81,53.1,13,26,50,15,19,78.9,6,35,41,22,14,6,5,22,9
LAL @ POR,11/6/2021,L,48,90,31,90,34.4,9,32,28.1,19,24,79.2,11,48,59,20,19,8,5,17,-15
PHX vs. ATL,11/6/2021,W,48,121,45,88,51.1,14,43,32.6,17,21,81,5,37,42,26,12,8,6,22,4
HOU @ DEN,11/6/2021,L,48,94,35,75,46.7,8,28,28.6,16,24,66.7,7,40,47,19,17,8,6,16,-1
IND @ SAC,11/7/2021,W,48,94,37,83,44.6,6,25,24,14,18,77.8,13,41,54,13,21,8,7,24,3
SAC vs. IND,11/7/2021,L,48,91,31,84,36.9,10,34,29.4,19,22,86.4,8,25,33,20,12,14,6,18,-3
SAS @ OKC,11/7/2021,L,48,94,41,100,41,6,30,20,6,9,66.7,11,35,46,29,10,9,10,16,-5
LAC vs. CHA,11/7/2021,W,48,120,41,86,47.7,18,48,37.5,20,21,95.2,7,43,50,24,20,8,5,16,14
MIL @ WAS,11/7/2021,L,48,94,37,94,39.4,10,36,27.8,10,18,55.6,16,33,49,17,13,14,3,10,-7
HOU @ GSW,11/7/2021,L,48,107,36,79,45.6,10,33,30.3,25,37,67.6,12,30,42,17,21,11,3,16,-13
WAS vs. MIL,11/7/2021,W,48,101,41,81,50.6,11,27,40.7,8,13,61.5,4,38,42,24,19,8,8,16,7
BKN @ TOR,11/7/2021,W,48,116,41,80,51.3,17,38,44.7,17,20,85,12,36,48,29,16,3,0,15,13
CLE @ NYK,11/7/2021,W,48,126,49,90,54.4,19,35,54.3,9,11,81.8,11,37,48,31,17,8,2,18,17
GSW vs. HOU,11/7/2021,W,48,120,44,85,51.8,15,46,32.6,17,20,85,7,34,41,31,17,12,3,28,13
NYK vs. CLE,11/7/2021,L,48,109,39,85,45.9,9,31,29,22,24,91.7,7,25,32,21,11,9,9,14,-17
TOR vs. BKN,11/7/2021,L,48,103,41,87,47.1,7,30,23.3,14,18,77.8,8,27,35,23,8,10,6,16,-13
UTA @ ORL,11/7/2021,L,48,100,34,89,38.2,8,42,19,24,29,82.8,16,34,50,21,18,10,7,17,-7
ORL vs. UTA,11/7/2021,W,48,107,43,87,49.4,12,32,37.5,9,11,81.8,7,32,39,24,13,8,8,22,7
